ano,filiados,mes,sigla
2004,2,2,PSD
2004,71,2,PTC
2004,261,2,PT DO B
2004,1935,2,PTB
2004,408,2,PHS
2004,1586,2,DEM
2004,213,2,PRTB
2004,1,2,PSTU
2004,1291,2,PV
2004,3634,2,PMDB
2004,1332,2,PP
2004,611,2,PTN
2004,559,2,PSC
2004,874,2,PC DO B
2004,1716,2,PSDB
2004,10482,2,PT
2004,888,2,PMN
2004,84,2,PCB
2004,673,2,PSB
2004,218,2,PSL
2004,4,2,PRB
2004,1186,2,PPS
2004,206,2,PRP
2004,1055,2,PSDC
2004,3242,4,PR
2004,2,4,PCO
2004,3034,4,PDT
2004,476,4,PTC
2004,1523,4,PT DO B
2004,5481,4,PTB
2004,2588,4,PHS
2004,2271,4,DEM
2004,494,4,PRTB
2004,16,4,PSTU
2004,1884,4,PV
2004,5522,4,PMDB
2004,2761,4,PP
2004,985,4,PTN
2004,1123,4,PSC
2004,631,4,PC DO B
2004,3533,4,PSDB
2004,7582,4,PT
2004,1219,4,PMN
2004,40,4,PCB
2004,1387,4,PSB
2004,1532,4,PSL
2004,9,4,PRB
2004,2165,4,PPS
2004,630,4,PRP
2004,1637,4,PSDC
2004,1353,1,PR
2004,10,1,PCO
2004,1477,1,PDT
2004,2,1,PSD
2004,92,1,PTC
2004,1380,1,PT DO B
2004,1234,1,PTB
2004,416,1,PHS
2004,952,1,DEM
2004,252,1,PRTB
2004,5,1,PSTU
2004,1302,1,PV
2004,3299,1,PMDB
2004,867,1,PP
2004,1235,1,PTN
2004,703,1,PSC
2004,540,1,PC DO B
2004,1769,1,PSDB
2004,6882,1,PT
2004,601,1,PMN
2004,110,1,PCB
2004,931,1,PSB
2004,377,1,PSL
2004,11,1,PRB
2004,1130,1,PPS
2004,350,1,PRP
2004,976,1,PSDC
2004,3304,3,PR
2004,34,3,PCO
2004,2836,3,PDT
2004,1,3,PSD
2004,380,3,PTC
2004,1116,3,PT DO B
2004,5240,3,PTB
2004,914,3,PHS
2004,3266,3,DEM
2004,503,3,PRTB
2004,1,3,PSTU
2004,1706,3,PV
2004,6358,3,PMDB
2004,2528,3,PP
2004,1447,3,PTN
2004,845,3,PSC
2004,1110,3,PC DO B
2004,4919,3,PSDB
2004,18374,3,PT
2004,1998,3,PMN
2004,70,3,PCB
2004,1613,3,PSB
2004,473,3,PSL
2004,5,3,PRB
2004,2861,3,PPS
2004,437,3,PRP
2004,1527,3,PSDC
1987,120,2,PR
1987,84,2,PP
1987,1,2,PTC
1987,1,2,PSC
1987,26,2,PC DO B
1987,19,2,PSDB
1987,936,2,PT
1987,2,2,PMN
1987,358,2,PTB
1987,54,2,PSB
1987,276,2,DEM
1987,147,2,PPS
1987,684,2,PDT
1987,1562,2,PMDB
1987,154,4,PR
1987,27,4,PP
1987,8,4,PTC
1987,1,4,PSC
1987,4,4,PC DO B
1987,3,4,PSDB
1987,676,4,PT
1987,14,4,PMN
1987,383,4,PTB
1987,8,4,PSB
1987,133,4,DEM
1987,10,4,PPS
1987,1205,4,PDT
1987,1259,4,PMDB
1987,150,1,PR
1987,294,1,PDT
1987,1,1,PCB
1987,1,1,PSD
1987,122,1,PC DO B
1987,8,1,PSDB
1987,715,1,PT
1987,2,1,PMN
1987,351,1,PTB
1987,88,1,PSB
1987,115,1,PP
1987,185,1,DEM
1987,53,1,PPS
1987,2,1,PTC
1987,1128,1,PMDB
1987,1,1,PSC
1987,226,3,PR
1987,1,3,SD
1987,1954,3,PDT
1987,2,3,PTN
1987,2,3,PSC
1987,28,3,PC DO B
1987,41,3,PSDB
1987,1980,3,PT
1987,2,3,PMN
1987,1022,3,PTB
1987,42,3,PSB
1987,137,3,PP
1987,225,3,DEM
1987,52,3,PPS
1987,4,3,PTC
1987,1607,3,PMDB
1987,1,3,PRP
2002,1228,2,PR
2002,2,2,PCO
2002,1066,2,PDT
2002,5,2,PSD
2002,133,2,PTC
2002,86,2,PT DO B
2002,1419,2,PTB
2002,175,2,PHS
2002,1243,2,DEM
2002,125,2,PRTB
2002,6,2,PSTU
2002,170,2,PV
2002,1861,2,PMDB
2002,1781,2,PP
2002,176,2,PTN
2002,189,2,PSC
2002,372,2,PC DO B
2002,1861,2,PSDB
2002,3471,2,PT
2002,145,2,PMN
2002,10,2,PCB
2002,692,2,PSB
2002,373,2,PSL
2002,2,2,PRB
2002,799,2,PPS
2002,137,2,PRP
2002,101,2,PSDC
2002,2247,4,PR
2002,6,4,PCO
2002,2192,4,PDT
2002,1,4,PSD
2002,183,4,PTC
2002,245,4,PT DO B
2002,1700,4,PTB
2002,528,4,PHS
2002,2226,4,DEM
2002,248,4,PRTB
2002,10,4,PSTU
2002,335,4,PV
2002,2829,4,PMDB
2002,2732,4,PP
2002,241,4,PTN
2002,316,4,PSC
2002,409,4,PC DO B
2002,6039,4,PSDB
2002,4131,4,PT
2002,124,4,PMN
2002,2,4,PCB
2002,955,4,PSB
2002,318,4,PSL
2002,1,4,PRB
2002,796,4,PPS
2002,414,4,PRP
2002,96,4,PSDC
2002,858,1,PR
2002,2,1,PCO
2002,961,1,PDT
2002,2,1,PSD
2002,54,1,PTC
2002,1052,1,DEM
2002,1965,1,PTB
2002,104,1,PHS
2002,88,1,PT DO B
2002,182,1,PRTB
2002,6,1,PSTU
2002,247,1,PV
2002,2003,1,PMDB
2002,2024,1,PP
2002,143,1,PTN
2002,153,1,PSC
2002,380,1,PC DO B
2002,1763,1,PSDB
2002,3808,1,PT
2002,137,1,PMN
2002,6,1,PCB
2002,857,1,PSB
2002,345,1,PSL
2002,302,1,PSDC
2002,495,1,PPS
2002,153,1,PRP
2002,1843,3,PR
2002,14,3,PCO
2002,2381,3,PDT
2002,13,3,PSD
2002,68,3,PTC
2002,1684,3,DEM
2002,3031,3,PTB
2002,354,3,PHS
2002,255,3,PT DO B
2002,159,3,PRTB
2002,11,3,PSTU
2002,365,3,PV
2002,2637,3,PMDB
2002,2764,3,PP
2002,286,3,PTN
2002,114,3,PSC
2002,331,3,PC DO B
2002,2590,3,PSDB
2002,5648,3,PT
2002,214,3,PMN
2002,4,3,PCB
2002,1083,3,PSB
2002,551,3,PSL
2002,87,3,PSDC
2002,796,3,PPS
2002,446,3,PRP
1984,28,2,PP
1984,1,2,PTN
1984,1,2,PSC
1984,1,2,PC DO B
1984,23,2,PSDB
1984,840,2,PT
1984,2,2,PMN
1984,251,2,PTB
1984,1,2,PSB
1984,5,2,DEM
1984,1,2,PPS
1984,488,2,PDT
1984,1,2,PV
1984,506,2,PMDB
1984,2,4,PR
1984,37,4,PP
1984,306,4,PDT
1984,1,4,PSC
1984,1,4,PC DO B
1984,4,4,PSDB
1984,92,4,PT
1984,1,4,PMN
1984,113,4,PTB
1984,2,4,PSB
1984,5,4,DEM
1984,1,4,PPS
1984,2,4,PV
1984,244,4,PMDB
1984,3,1,PR
1984,48,1,PP
1984,357,1,PDT
1984,10,1,PC DO B
1984,2,1,PSDB
1984,740,1,PT
1984,1,1,PMN
1984,289,1,PTB
1984,3,1,PSB
1984,11,1,DEM
1984,3,1,PPS
1984,735,1,PMDB
1984,1,3,PR
1984,310,3,PTB
1984,111,3,PP
1984,644,3,PDT
1984,2,3,PC DO B
1984,3,3,PSB
1984,2,3,PPS
1984,12,3,PSDB
1984,759,3,PT
1984,4,3,DEM
1984,602,3,PMDB
2006,520,2,PR
2006,1244,2,PDT
2006,31,2,PTC
2006,56,2,PT DO B
2006,814,2,PTB
2006,194,2,PHS
2006,1196,2,DEM
2006,79,2,PRTB
2006,3,2,PSTU
2006,314,2,PSOL
2006,5001,2,PMDB
2006,855,2,PP
2006,162,2,PTN
2006,339,2,PSC
2006,366,2,PC DO B
2006,2386,2,PSDB
2006,512,2,PV
2006,2199,2,PT
2006,94,2,PMN
2006,7,2,PCB
2006,356,2,PSB
2006,136,2,PSL
2006,174,2,PRB
2006,796,2,PPS
2006,85,2,PRP
2006,188,2,PSDC
2006,619,4,PR
2006,1483,4,PDT
2006,1,4,PSD
2006,101,4,PTC
2006,111,4,PT DO B
2006,1062,4,PTB
2006,178,4,PHS
2006,1245,4,DEM
2006,105,4,PRTB
2006,8,4,PSTU
2006,150,4,PSOL
2006,4785,4,PMDB
2006,950,4,PP
2006,172,4,PTN
2006,350,4,PSC
2006,286,4,PC DO B
2006,2859,4,PSDB
2006,432,4,PV
2006,1959,4,PT
2006,85,4,PMN
2006,13,4,PCB
2006,1202,4,PSB
2006,311,4,PSL
2006,470,4,PRB
2006,461,4,PPS
2006,139,4,PRP
2006,155,4,PSDC
2006,359,1,PR
2006,1666,1,PDT
2006,69,1,PTC
2006,12,1,PT DO B
2006,733,1,PTB
2006,137,1,PHS
2006,738,1,DEM
2006,122,1,PRTB
2006,6,1,PSTU
2006,3873,1,PSOL
2006,4518,1,PMDB
2006,918,1,PP
2006,242,1,PTN
2006,270,1,PSC
2006,341,1,PC DO B
2006,2485,1,PSDB
2006,411,1,PV
2006,1931,1,PT
2006,124,1,PMN
2006,20,1,PCB
2006,665,1,PSB
2006,253,1,PSL
2006,339,1,PRB
2006,540,1,PPS
2006,76,1,PRP
2006,203,1,PSDC
2006,692,3,PR
2006,3191,3,PDT
2006,1,3,PSD
2006,131,3,PTC
2006,114,3,PT DO B
2006,1315,3,PTB
2006,233,3,PHS
2006,1563,3,DEM
2006,120,3,PRTB
2006,1,3,PSTU
2006,260,3,PSOL
2006,7403,3,PMDB
2006,1405,3,PP
2006,157,3,PTN
2006,442,3,PSC
2006,669,3,PC DO B
2006,4206,3,PSDB
2006,719,3,PV
2006,2918,3,PT
2006,847,3,PMN
2006,31,3,PCB
2006,721,3,PSB
2006,157,3,PSL
2006,255,3,PRB
2006,848,3,PPS
2006,100,3,PRP
2006,352,3,PSDC
1997,68,2,PR
1997,1,2,PCO
1997,192,2,PDT
1997,1,2,PTC
1997,59,2,PT DO B
1997,245,2,PTB
1997,65,2,PHS
1997,384,2,DEM
1997,16,2,PRTB
1997,5,2,PCB
1997,47,2,PV
1997,1522,2,PMDB
1997,415,2,PP
1997,1,2,PTN
1997,29,2,PSC
1997,87,2,PC DO B
1997,1516,2,PSDB
1997,1030,2,PT
1997,17,2,PMN
1997,85,2,PSB
1997,40,2,PSL
1997,6,2,PRB
1997,110,2,PPS
1997,92,2,PRP
1997,5,2,PSDC
1997,222,4,PR
1997,341,4,PDT
1997,4,4,PTC
1997,1150,4,DEM
1997,849,4,PTB
1997,41,4,PHS
1997,24,4,PT DO B
1997,9,4,PRTB
1997,6,4,PSTU
1997,15,4,PV
1997,1328,4,PMDB
1997,744,4,PP
1997,28,4,PTN
1997,21,4,PSC
1997,75,4,PC DO B
1997,1996,4,PSDB
1997,12462,4,PT
1997,34,4,PMN
1997,2,4,PCB
1997,257,4,PSB
1997,60,4,PSL
1997,283,4,PSDC
1997,180,4,PPS
1997,69,4,PRP
1997,361,1,PR
1997,196,1,PDT
1997,45,1,PTC
1997,80,1,PT DO B
1997,259,1,PTB
1997,99,1,PHS
1997,255,1,DEM
1997,19,1,PRTB
1997,10,1,PSTU
1997,36,1,PV
1997,4049,1,PMDB
1997,450,1,PP
1997,2,1,PTN
1997,39,1,PSC
1997,105,1,PC DO B
1997,1611,1,PSDB
1997,1715,1,PT
1997,54,1,PMN
1997,220,1,PCB
1997,179,1,PSB
1997,32,1,PSL
1997,4,1,PRB
1997,134,1,PPS
1997,64,1,PRP
1997,66,1,PSDC
1997,201,3,PR
1997,285,3,PDT
1997,2,3,PTC
1997,106,3,PT DO B
1997,744,3,PTB
1997,283,3,PHS
1997,502,3,DEM
1997,24,3,PRTB
1997,3,3,PSTU
1997,16,3,PV
1997,1968,3,PMDB
1997,814,3,PP
1997,7,3,PTN
1997,72,3,PSC
1997,129,3,PC DO B
1997,2476,3,PSDB
1997,4696,3,PT
1997,90,3,PMN
1997,4,3,PCB
1997,286,3,PSB
1997,71,3,PSL
1997,9,3,PRB
1997,246,3,PPS
1997,86,3,PRP
1997,8,3,PSDC
2009,203,2,PR
2009,786,2,PDT
2009,25,2,PTC
2009,244,2,PT DO B
2009,346,2,PTB
2009,165,2,PHS
2009,417,2,DEM
2009,156,2,PRTB
2009,4,2,PSTU
2009,329,2,PSOL
2009,1448,2,PMDB
2009,1004,2,PP
2009,61,2,PTN
2009,203,2,PSC
2009,394,2,PC DO B
2009,2167,2,PSDB
2009,724,2,PV
2009,1255,2,PT
2009,104,2,PMN
2009,1,2,PCB
2009,658,2,PSB
2009,49,2,PSL
2009,3051,2,PRB
2009,1283,2,PPS
2009,60,2,PRP
2009,51,2,PSDC
2009,657,4,PR
2009,1,4,PCO
2009,1269,4,PDT
2009,4,4,PSTU
2009,519,4,DEM
2009,679,4,PTB
2009,274,4,PHS
2009,283,4,PT DO B
2009,201,4,PMN
2009,155,4,PRTB
2009,124,4,PTC
2009,2019,4,PSOL
2009,4536,4,PMDB
2009,729,4,PP
2009,161,4,PTN
2009,293,4,PSC
2009,613,4,PC DO B
2009,1756,4,PSDB
2009,470,4,PV
2009,870,4,PT
2009,2548,4,PRB
2009,7,4,PCB
2009,898,4,PSB
2009,202,4,PSL
2009,4,4,PPL
2009,134,4,PSDC
2009,1673,4,PPS
2009,177,4,PRP
2009,287,1,PR
2009,972,1,PDT
2009,21,1,PTC
2009,498,1,PT DO B
2009,425,1,PTB
2009,112,1,PHS
2009,673,1,DEM
2009,257,1,PRTB
2009,1,1,PSTU
2009,307,1,PSOL
2009,1528,1,PMDB
2009,753,1,PP
2009,85,1,PTN
2009,317,1,PSC
2009,299,1,PC DO B
2009,2621,1,PSDB
2009,469,1,PV
2009,1509,1,PT
2009,27,1,PMN
2009,2,1,PCB
2009,716,1,PSB
2009,44,1,PSL
2009,722,1,PRB
2009,511,1,PPS
2009,106,1,PRP
2009,132,1,PSDC
2009,949,3,PR
2009,1035,3,PDT
2009,237,3,PTC
2009,111,3,PT DO B
2009,1103,3,PTB
2009,251,3,PHS
2009,559,3,DEM
2009,42,3,PRTB
2009,8,3,PSTU
2009,2035,3,PSOL
2009,6569,3,PMDB
2009,1379,3,PP
2009,819,3,PTN
2009,601,3,PSC
2009,885,3,PC DO B
2009,2635,3,PSDB
2009,620,3,PV
2009,2741,3,PT
2009,84,3,PMN
2009,11,3,PCB
2009,1282,3,PSB
2009,62,3,PSL
2009,3358,3,PRB
2009,3111,3,PPS
2009,130,3,PRP
2009,237,3,PSDC
2012,482,2,PR
2012,1857,2,PDT
2012,3897,2,PSD
2012,18,2,PSTU
2012,393,2,DEM
2012,1108,2,PTB
2012,2,2,PEN
2012,209,2,PT DO B
2012,471,2,PMN
2012,176,2,PRTB
2012,259,2,PTC
2012,157,2,PSOL
2012,1672,2,PMDB
2012,2,2,SD
2012,1304,2,PP
2012,385,2,PTN
2012,1024,2,PSC
2012,566,2,PC DO B
2012,1536,2,PSDB
2012,1181,2,PV
2012,3943,2,PT
2012,636,2,PRB
2012,6,2,PCB
2012,4143,2,PSB
2012,242,2,PSL
2012,134,2,PPL
2012,177,2,PSDC
2012,367,2,PPS
2012,598,2,PHS
2012,429,2,PRP
2012,1834,4,PR
2012,4548,4,PDT
