ano,filiados,mes,sigla
2010,180,11,DEM
2010,140,11,PMN
2010,500,11,PP
2010,9,11,PSTU
2010,497,11,PV
2010,73,11,PSDC
2010,1129,11,PMDB
2010,14,11,PRTB
2010,157,11,PPS
2010,487,11,PRB
2010,138,11,PHS
2010,355,11,PSOL
2010,382,11,PSB
2010,5,11,PCB
2010,252,11,PR
2010,74,11,PSL
2010,66,11,PT DO B
2010,176,11,PTC
2010,436,11,PC DO B
2010,199,11,PSC
2010,58,11,PRP
2010,700,11,PDT
2010,147,11,PTN
2010,3781,11,PT
2010,273,11,PTB
2010,1347,11,PSDB
2010,15,8,PPL
2010,789,8,DEM
2010,33,8,PMN
2010,642,8,PP
2010,22,8,PSTU
2010,512,8,PV
2010,169,8,PSDC
2010,1387,8,PMDB
2010,42,8,PRTB
2010,2,8,PSD
2010,258,8,PPS
2010,126,8,PRB
2010,58,8,PHS
2010,113,8,PSOL
2010,1139,8,PSB
2010,2,8,PCB
2010,519,8,PR
2010,109,8,PSL
2010,195,8,PT DO B
2010,882,8,PTC
2010,353,8,PC DO B
2010,223,8,PSC
2010,438,8,PRP
2010,597,8,PDT
2010,220,8,PTN
2010,1613,8,PT
2010,539,8,PTB
2010,1419,8,PSDB
2010,3,3,PPL
2010,667,3,DEM
2010,694,3,PMN
2010,1071,3,PP
2010,4,3,PSTU
2010,1096,3,PV
2010,438,3,PSDC
2010,2162,3,PMDB
2010,229,3,PRTB
2010,2,3,PSD
2010,366,3,PPS
2010,1393,3,PRB
2010,217,3,PHS
2010,733,3,PSOL
2010,1489,3,PSB
2010,7,3,PCB
2010,866,3,PR
2010,282,3,PSL
2010,161,3,PT DO B
2010,197,3,PTC
2010,611,3,PC DO B
2010,2190,3,PSC
2010,166,3,PRP
2010,1355,3,PDT
2010,328,3,PTN
2010,2365,3,PT
2010,998,3,PTB
2010,3564,3,PSDB
2010,23,10,PPL
2010,1,10,PCO
2010,660,10,DEM
2010,107,10,PMN
2010,1454,10,PP
2010,138,10,PSTU
2010,1417,10,PV
2010,164,10,PSDC
2010,2855,10,PMDB
2010,290,10,PRTB
2010,59,10,PSD
2010,1,10,SD
2010,304,10,PRB
2010,461,10,PPS
2010,188,10,PHS
2010,867,10,PSOL
2010,849,10,PSB
2010,7,10,PCB
2010,986,10,PR
2010,158,10,PSL
2010,487,10,PT DO B
2010,83,10,PTC
2010,732,10,PC DO B
2010,691,10,PSC
2010,83,10,PRP
2010,1063,10,PDT
2010,269,10,PTN
2010,3591,10,PT
2010,1401,10,PTB
2010,3454,10,PSDB
2010,8,6,PPL
2010,484,6,DEM
2010,80,6,PMN
2010,504,6,PP
2010,13,6,PSTU
2010,483,6,PV
2010,85,6,PSDC
2010,1425,6,PMDB
2010,76,6,PRTB
2010,1,6,PSD
2010,379,6,PPS
2010,409,6,PRB
2010,79,6,PHS
2010,141,6,PSOL
2010,611,6,PSB
2010,3,6,PCB
2010,726,6,PR
2010,115,6,PSL
2010,183,6,PT DO B
2010,359,6,PTC
2010,603,6,PC DO B
2010,1575,6,PSC
2010,275,6,PRP
2010,658,6,PDT
2010,212,6,PTN
